,0,1,2,haiku,lang
0,fishing boats,colors of,the rainbow,"fishing boats
colors of
the rainbow",en
1,bateaux de pêche,les couleurs de,l'arc-en-ciel ,"bateaux de pêche
les couleurs de
l'arc-en-ciel ",fr
2,ash wednesday--,trying to remember ,my dream,"ash wednesday--
trying to remember 
my dream",en
3,mercredi des cendres --,j'essaie de me rappeler,mon rêve ,"mercredi des cendres --
j'essaie de me rappeler
mon rêve ",fr
4,japanese quake,this godless spring,tsunami,"japanese quake
this godless spring
tsunami",et
5,séisme au japon,ce printemps sans dieu,tsunami ,"séisme au japon
ce printemps sans dieu
tsunami ",fr
6,snowy morn--,pouring another cup,of black coffee,"snowy morn--
pouring another cup
of black coffee",en
7,matin de neige --,se verser une autre tasse,de café noir ,"matin de neige --
se verser une autre tasse
de café noir ",fr
8,shortest day,flames dance,in the oven,"shortest day
flames dance
in the oven",en
9,jour le plus court,les flammes dansent,dans le four ,"jour le plus court
les flammes dansent
dans le four ",fr
10,haze,half the horse hidden,behind the house,"haze
half the horse hidden
behind the house",en
11,brume,la moitié du cheval cachée,derrière la maison,"brume
la moitié du cheval cachée
derrière la maison",fr
12,low sun,the lady in red,on high heels,"low sun
the lady in red
on high heels",en
13,soleil bas,la dame en rouge,sur des hauts talons,"soleil bas
la dame en rouge
sur des hauts talons",fr
14,advent,the passing stranger,farts,"advent
the passing stranger
farts",en
15,Avent,l'étranger qui passe,pète,"Avent
l'étranger qui passe
pète",fr
16,tarn,a bubble in,the ice,"tarn
a bubble in
the ice",en
17,petit lac de montagne,une bulle dans,la glace,"petit lac de montagne
une bulle dans
la glace",fr
18,snowflakes,new asphalt,in the holes,"snowflakes
new asphalt
in the holes",en
19,flocons de neige,de l'asphalte nouveau,dans les trous,"flocons de neige
de l'asphalte nouveau
dans les trous",fr
20,Crystal Night',   gusts of rain,      outside,"Crystal Night'
   gusts of rain
      outside",en
21,'Nuit de Cristal',   des bourrasques de pluie,      dehors,"'Nuit de Cristal'
   des bourrasques de pluie
      dehors",fr
22,rain,the sound of a horse galloping,through leaves,"rain
the sound of a horse galloping
through leaves",en
23,pluie,le son d'un cheval galopant,à travers les feuilles,"pluie
le son d'un cheval galopant
à travers les feuilles",fr
24,winter stars,suddenly a whiff,of perfume,"winter stars
suddenly a whiff
of perfume",en
25,étoiles d'hiver,soudain une bouffée,de parfum,"étoiles d'hiver
soudain une bouffée
de parfum",fr
26,hungry,half of the moon,hidden,"hungry
half of the moon
hidden",en
27,j'ai faim,la moitié de la lune,pas là,"j'ai faim
la moitié de la lune
pas là",fr
28,rain,another leaf,down,"rain
another leaf
down",en
29,pluie,une autre feuille,tombe,"pluie
une autre feuille
tombe",fr
30,sharia,the sound of one hand,clapping,"sharia
the sound of one hand
clapping",en
31,sharia,le bruit d'une main,qui applaudit,"sharia
le bruit d'une main
qui applaudit",fr
32,the sound of geese,drowned by the sound of the train,this morning,"the sound of geese
drowned by the sound of the train
this morning",en
33,le bruit des oies,noyé dans le bruit du train,ce matin,"le bruit des oies
noyé dans le bruit du train
ce matin",fr
34,autumn sun,my shadow over,tombstones,"autumn sun
my shadow over
tombstones",en
35,soleil d'automne,mon ombre sur,les tombes,"soleil d'automne
mon ombre sur
les tombes",fr
36,fly fishing;,the sound of the wind,in the reel,"fly fishing;
the sound of the wind
in the reel",en
37,pêche à la mouche;,le bruit du vent,dans le moulinet,"pêche à la mouche;
le bruit du vent
dans le moulinet",fr
38,december,a long shadow,joins another,"december
a long shadow
joins another",en
39,décembre,une ombre longue,rejoint une autre,"décembre
une ombre longue
rejoint une autre",fr
40,end of path,snowflakes melting,on the pond,"end of path
snowflakes melting
on the pond",en
41,fin du sentier,les flocons fondent,sur l'étang,"fin du sentier
les flocons fondent
sur l'étang",fr
42,morning frost,she leaves,first,"morning frost
she leaves
first",en
43,gel du matin,elle part,la première,"gel du matin
elle part
la première",fr
44,evening walk,smell of tar between,pines,"evening walk
smell of tar between
pines",en
45,promenade du soir,l'odeur du goudron entre,les pins,"promenade du soir
l'odeur du goudron entre
les pins",fr
46,dachau,a blue sky above,the chimneys,"dachau
a blue sky above
the chimneys",en
47,dachau,un ciel bleu par-dessus,les cheminées,"dachau
un ciel bleu par-dessus
les cheminées",fr
48,Deep autumn;,The apple colder,In the tree.,"Deep autumn;
The apple colder
In the tree.",en
49,Fin d'automne;,La pomme plus froide,Sur l'arbre.,"Fin d'automne;
La pomme plus froide
Sur l'arbre.",fr
50,visiting the graves,stronger the October wind,at my grandparents',"visiting the graves
stronger the October wind
at my grandparents'",en
51,visitant les tombes,le vent d'octobre plus dur,sur mes grand-parents,"visitant les tombes
le vent d'octobre plus dur
sur mes grand-parents",fr
52,over the hedge,a dragonfly,east,"over the hedge
a dragonfly
east",en
53,par dessus la haie,une libellule,plein Est,"par dessus la haie
une libellule
plein Est",fr
54,a bubble,bursts on surface,full moon,"a bubble
bursts on surface
full moon",en
55,une bulle,éclate à la surface,pleine lune,"une bulle
éclate à la surface
pleine lune",fr
56,rain,the white lilac,low,"rain
the white lilac
low",en
57,pluie,le lilas blanc,courbé,"pluie
le lilas blanc
courbé",fr
58,my hand,    on her hip,         full moon,"my hand
    on her hip
         full moon",en
59,ma main,    sur ta hanche,         pleine lune,"ma main
    sur ta hanche
         pleine lune",fr
60,three petals fall,from the purple coneflower...,almost summer,"three petals fall
from the purple coneflower...
almost summer",en
61,(trois pétales tombent,de cône floral pourpre . . . ,bientôt l'été),"(trois pétales tombent
de cône floral pourpre . . . 
bientôt l'été)",fr
62,instant message--,moon reveals more,of herself each night,"instant message--
moon reveals more
of herself each night",en
63,messagerie instantanée  --,la lune révèle un peu plus,d'elle chaque nuit,"messagerie instantanée  --
la lune révèle un peu plus
d'elle chaque nuit",fr
64,Corde à linge,balancent à gauche et à droite,les vêtements du violoniste ,"Corde à linge
balancent à gauche et à droite
les vêtements du violoniste ",fr
65,Cimetière,la coquille d'escargot,pleine de pluie ,"Cimetière
la coquille d'escargot
pleine de pluie ",fr
66,Jour de l'Indépendance,les fleurs tombent,au lever du soleil ,"Jour de l'Indépendance
les fleurs tombent
au lever du soleil ",fr
67,Les ruines de la maison,l'araignée,Retisse sa toile ,"Les ruines de la maison
l'araignée
Retisse sa toile ",fr
68,Whatsapp,Les mots de ma mère,Au son des gouttes de pluie ,"Whatsapp
Les mots de ma mère
Au son des gouttes de pluie ",fr
69,Nostalgie,premières gouttes de pluie,sur le rail ,"Nostalgie
premières gouttes de pluie
sur le rail ",fr
70,Ta chemise blanche,soleil suspendu,dans mon armoire ,"Ta chemise blanche
soleil suspendu
dans mon armoire ",fr
71,Retour des oies,des dizaines de lettres,dans ma boîte ,"Retour des oies
des dizaines de lettres
dans ma boîte ",fr
72,La ville est dévastée.,L'ombre d'un dictateur.,Dans la mosquée. ,"La ville est dévastée.
L'ombre d'un dictateur.
Dans la mosquée. ",fr
73,WhatsApp -,La pluie tombe sur le visage de ma mère.,Au Centre des réfugiés. ,"WhatsApp -
La pluie tombe sur le visage de ma mère.
Au Centre des réfugiés. ",fr
74,Le vieux puits.,Un écho.,Avec chaque balle. ,"Le vieux puits.
Un écho.
Avec chaque balle. ",fr
75,Les adieux,son ombre dans,ma valise ,"Les adieux
son ombre dans
ma valise ",fr
76,Avec la pomme rouge.,Ramasse le vieux jardinier.,La dernière lumière du jour. ,"Avec la pomme rouge.
Ramasse le vieux jardinier.
La dernière lumière du jour. ",fr
77,Maison de la famille ,le goût du bonheur reste encore ,dans le vieux cerisier ,"Maison de la famille 
le goût du bonheur reste encore 
dans le vieux cerisier ",fr
78,Avec la vieille balançoire,les souvenirs ,viennent et vont ,"Avec la vieille balançoire
les souvenirs 
viennent et vont ",fr
