,0,1,2,haiku,lang
0,fishing boats,colors of,the rainbow,"fishing boats
colors of
the rainbow",en
2,ash wednesday--,trying to remember ,my dream,"ash wednesday--
trying to remember 
my dream",en
6,snowy morn--,pouring another cup,of black coffee,"snowy morn--
pouring another cup
of black coffee",en
8,shortest day,flames dance,in the oven,"shortest day
flames dance
in the oven",en
10,haze,half the horse hidden,behind the house,"haze
half the horse hidden
behind the house",en
12,low sun,the lady in red,on high heels,"low sun
the lady in red
on high heels",en
14,advent,the passing stranger,farts,"advent
the passing stranger
farts",en
16,tarn,a bubble in,the ice,"tarn
a bubble in
the ice",en
18,snowflakes,new asphalt,in the holes,"snowflakes
new asphalt
in the holes",en
20,Crystal Night',   gusts of rain,      outside,"Crystal Night'
   gusts of rain
      outside",en
22,rain,the sound of a horse galloping,through leaves,"rain
the sound of a horse galloping
through leaves",en
24,winter stars,suddenly a whiff,of perfume,"winter stars
suddenly a whiff
of perfume",en
26,hungry,half of the moon,hidden,"hungry
half of the moon
hidden",en
28,rain,another leaf,down,"rain
another leaf
down",en
30,sharia,the sound of one hand,clapping,"sharia
the sound of one hand
clapping",en
32,the sound of geese,drowned by the sound of the train,this morning,"the sound of geese
drowned by the sound of the train
this morning",en
34,autumn sun,my shadow over,tombstones,"autumn sun
my shadow over
tombstones",en
36,fly fishing;,the sound of the wind,in the reel,"fly fishing;
the sound of the wind
in the reel",en
38,december,a long shadow,joins another,"december
a long shadow
joins another",en
40,end of path,snowflakes melting,on the pond,"end of path
snowflakes melting
on the pond",en
42,morning frost,she leaves,first,"morning frost
she leaves
first",en
44,evening walk,smell of tar between,pines,"evening walk
smell of tar between
pines",en
46,dachau,a blue sky above,the chimneys,"dachau
a blue sky above
the chimneys",en
48,Deep autumn;,The apple colder,In the tree.,"Deep autumn;
The apple colder
In the tree.",en
50,visiting the graves,stronger the October wind,at my grandparents',"visiting the graves
stronger the October wind
at my grandparents'",en
52,over the hedge,a dragonfly,east,"over the hedge
a dragonfly
east",en
54,a bubble,bursts on surface,full moon,"a bubble
bursts on surface
full moon",en
56,rain,the white lilac,low,"rain
the white lilac
low",en
58,my hand,    on her hip,         full moon,"my hand
    on her hip
         full moon",en
60,three petals fall,from the purple coneflower...,almost summer,"three petals fall
from the purple coneflower...
almost summer",en
62,instant message--,moon reveals more,of herself each night,"instant message--
moon reveals more
of herself each night",en
86,Out of the well,By the bucket ,I hunt A moon,"Out of the well
By the bucket 
I hunt A moon",en
112,Out of the well,By the bucket I hunt,A moon,"Out of the well
By the bucket I hunt
A moon",en
116,Out of the well,By the bucket I hunt,A moon,"Out of the well
By the bucket I hunt
A moon",en
150,nude beach,a stranger covers me,with his shadow,"nude beach
a stranger covers me
with his shadow",en
152,garden wedding --,under the cherry blossoms,the bride's blush deepens,"garden wedding --
under the cherry blossoms
the bride's blush deepens",en
154,rainy New York,from the tenth storey window,black umbrellas bloom,"rainy New York
from the tenth storey window
black umbrellas bloom",en
156,drunk on the beach-,the moon in my sake cup,disappears,"drunk on the beach-
the moon in my sake cup
disappears",en
158,faintly purple,against the moon -,pines in the light,"faintly purple
against the moon -
pines in the light",en
160,the last light of day ~,purple rhododendrons,dissolve in the dark,"the last light of day ~
purple rhododendrons
dissolve in the dark",en
164,wisteria -,blooming before,the end of rain,"wisteria -
blooming before
the end of rain",en
166,through lace ~,the tracery of frost,on glass,"through lace ~
the tracery of frost
on glass",en
168,rain,falls from the trees,on the blue iris,"rain
falls from the trees
on the blue iris",en
170,winter beach -,three grey lines,"of sand, sea and sky","winter beach -
three grey lines
of sand, sea and sky",en
172,winter -,white peonies,in falling snow,"winter -
white peonies
in falling snow",en
176,long illness –,pink dogwood blooming,without me,"long illness –
pink dogwood blooming
without me",en
