,0,1,2,source
0,Force and yielding meet,together: An attack,is half repulsed.,gutenberg
1,Shafts of broken sunlight,dissolving Convolutions,of torpid cloud.,gutenberg
2,The boat drifts to,rest Under the outward,spraying branches.,gutenberg
3,"She is an iris, Dark","purple, pale rose, Under the gnarled boughs That",shatter their stars of bloom.,gutenberg
4,She waves,delicately With the movement,of the tree.,gutenberg
5,Of what,is she,dreaming?,gutenberg
6,Of long nights lit with orange,"lanterns, Of wine cups and compliments and",kisses of the two-sword men.,gutenberg
7,And of dawn when weary sleepers Lie,"outstretched on the mats of the palace, And of the iris",stalk that is broken in the fountain.,gutenberg
8,Autumn winds roll through the,dry leaves On her garments; Autumn,birds shiver Athwart star-hung skies.,gutenberg
9,"Under the blossoming plum-tree, She expresses","the pilgrimage Of grey souls passing, Athwart love's scarlet",maples To the ash-strewn summit of death.,gutenberg
10,Iris-amid-clouds,Must be,her name.,gutenberg
11,Tall and lonely,"as the mountain-iris,",Cold and distant.,gutenberg
12,She has never known,longing: Many have died,for love of her.,gutenberg
13,"""And the prince came to the craggy",rock But saw only hissing waves So he rested,all day amid them.,gutenberg
14,""" He listens idly,",He is content,with her voice.,gutenberg
15,He dreams it is the,murmur Of distant wave-caps breaking,Upon the painted screen.,gutenberg
16,The peony dancer,Swirls orange folds of dusty,robes Through the summer.,gutenberg
17,They are spotted with,"thunder showers, Falling upon",the crimson petals.,gutenberg
18,Heavy blooms Breaking,and spilling fiery cups,Drowsily.,gutenberg
19,She is a fierce kitten,leaping in sunlight Towards,the swaying boughs.,gutenberg
20,"She is a gust of wind, Bending",in parallel curves the boughs,of the willow-tree.,gutenberg
21,Gilded hummingbirds are whizzing,"Through the palace garden, Deceived by the jade",petals Of the Emperor's jewel-trees.,gutenberg
22,The wind half blows,"her robes, That subside Listlessly",As swaying pines.,gutenberg
23,The wind tosses hers In circles,That recoil upon themselves: How should I,love--as the swaying or tossing wind?,gutenberg
