,0,1,2,source
0,jesus smiles grabs his guitar and plays,a couple of familiar riffs crooning take it,take another little piece of my heart now baby,img2poems
1,after a flying ovation she realizes,she is not with the kozmic blues band or,big brother and the holding company,img2poems
2,you do a lot more talking in your sleep,than you used to do now you're growing old,i wonder what there is for me to keep,img2poems
3,look back: you see the path we chose was steep,and needed all our strength  but we were bold,it took our breath and left us only sleep,img2poems
4,there was a time when talk of love came cheap,and what was bought was what the other sold,there was so much we didn't think to keep,img2poems
5,if all those words were piled up in a heap,of gold like tokens of love bright and cold,would you desire them or ask for sleep,img2poems
6,only know you've been high when you're feeling low,disgust the road when you're missing' home,only know you love her when you let her go,img2poems
7,t,s,eliot would've been ashamed of me,img2poems
8,nothing is past nothing is lost,one brief moment and all will be as it was before,how we shall laugh at the trouble of parting when we meet again,img2poems
9,father breath once more farewell,birth you gave was no thing ill,my heart is still as time will tell,img2poems
10,your eyes were fixed,staring at nothing and,turning into pale blue,img2poems
11,the funeral is sad and i cry even though i never knew the boy in the coffini cry because things have to end,why can't they be endless,i cry cause death is heart-breakingi cry for his family's pain,img2poems
12,crumbled lives,never to be again,scattered like leaves,img2poems
13,cute and hot,mountain and beaches,rose gold and the color of peaches,img2poems
14,five languages she knows,lena na usse panga,ycm ke peeche at swarganga,img2poems
15,o soft and dainty maiden from afar,i watch you as amidst the flowers you move,and pluck them singing,img2poems
16,more golden than all gold your tresses are,never was harp-note like your voice my love,your voice sweet-ringing,img2poems
17,they have been whispering in my ears,besides my heart doth presume,as thou art my life's pearl,img2poems
18,locked up in passion,never make a promise,but i'll be what he,img2poems
19,learning on a curve,and im certain they couldn't stop,the pace in case you doubted,img2poems
20,i taught you greek,but your painting of,was pure platonic form,img2poems
21,you drew the masks,of comedy and tragedy,in perfect harmony,img2poems
22,of course i love you,but if you love me,marry a young woman,img2poems
23,i couldn't stand it,to live with a young,man i being older,img2poems
24,it was a coincidence that you were from same college as well,i have watched your dance,each and every moves reflects the dance of goddess,img2poems
25,way down south in dixie,they hung my black young lover,to a cross roads tree,img2poems
26,way down south in dixie,i asked the white lord jesus,what was the use of prayer,img2poems
27,way down south in dixie,love is a naked shadow,on a gnarled and naked tree,img2poems
28,oh my god please don't tell me i failed,please lord just give me another chance,i promise i won't let you down,img2poems
29,it happened in an instant like a flash of light,a burning deep within me like a shooting star or a crashing flight,like icarus before his demise,img2poems
30,a never-ending supply,of food perhaps,asked god,img2poems
31,no no,i said,and prayed and prayed,img2poems
32,shall i offered god,remove all suffering,from the world,img2poems
33,no i said,the world's already used to it,and i prayed and prayed,img2poems
34,look you must tell me,what you want,said god now appearing a little irritated,img2poems
35,oh well if you insist,i said,i want your job,img2poems
36,for only in the gospel will my answers be,through the christ the redeemer my,redemption from this life of multiple lies,img2poems
37,how seldom do we talk to god enquire his plan,why waste moments in planning the future,when all to be done is bow our head,img2poems
38,yup you're not here for me,and i concede i'll never have,the pieces that you need,img2poems
39,before i leave the stage,i will sing the only song,i was meant truly to sing,img2poems
40,i live my lie,'cause if the theory's true,love damned can't die,img2poems
41,one last package sits lone at midnight sticking up out,of the coast rack high as the dusty fluorescent,light,img2poems
42,let my hand touch yours,let me warm it if it's cold,my last warmth shall not be wasted,img2poems
43,until finally i discover,they have eliminated all,my pencilled outlines,img2poems
44,it's not in the best interest,of a germ like hiv or you,to kill its host,img2poems
45,it`s not the end of the road,it`s the beginning of a new highway,the `highway to a destination called `success,img2poems
46,i've taken on his features to survive,and from me to the kid spotlights,have furnished only wastelands,img2poems
47,these feet have worked farmland,drawing wheat grains from sand grains,and now they walk to the supermarket each week,img2poems
48,vancouver bc canada,lrmt@hotmail,com,img2poems
49,i remember my incomprehension at the sudden laughter,that burst out like it was planned my heartbeat quickening faster now,i remember i wanted to cry,img2poems
50,make this stationary but it is already weighed moresca motion,four cruel columns twisting into beams and arches an epigraph,an old rending red wailing still wailing today an altered chord,img2poems
51,pleure lili lili,pleure lili baby,puisqu'il va disparaitre,img2poems
52,pleure lili lili,laisse l'ange endormi,choir sans heurt et sans bruit,img2poems
53,tu sais lili ses ailes,interdit,tu ne voleras plus avec lui,img2poems
54,i have locked myself in here,why don't i go out there,don't i hold my freedom dear,img2poems
55,so i sneak out clandestinely,to make my first move towards my family,but what i see is the absence of love compassion warmth and humility,img2poems
56,i found out my way through somehow,and came across a blood-soaked dove,she said this is the worth of peace my love,img2poems
57,strangulated i return back to my prison,because i find no reason,to live freely in a world full of treason,img2poems
58,on my journey ahead,for more frightening will face me: the thought filled me with dread,though my hunger for knowledge,img2poems
59,you give me an apartment full of morning smells toasted bagel and black,coffee and the freckled lilies in the vase on the windowsill,you give me -across,img2poems
60,you give me midnight apples in a car with the windows down,you give me the flashbulbs of an electrical storm,you give me thunder and the suddenly green underbellies of clouds,img2poems
61,you give me hyacinths and narcissus,you give me foxgloves,and soft fists of peony,img2poems
62,farewell,to,- nelson mandela,img2poems
63,i wonder whom i should call,a plumber,proctologist urologist or priest,img2poems
64,how dare he leave me,lost alone,i cried,img2poems
65,je t'affranchis,des lents retours sans adieux,a rendre sourd,img2poems
66,a death isn't always,a death it's birth of a new,memory instead,img2poems
67,au dessus de nos toits,des oiseaux,dessinent le matin,img2poems
68,promise made to self,time to began again,a new year's positive change,img2poems
69,muchas palabras recibo de ti,pero te recuerdo que se las lleva el viento,en tanto que las acciones viven del y para el recuerdo,img2poems
70,te repito y te recuerdo,soy hombre de acciones,no de promesas falsas,img2poems
71,a partir de hoy,de ti decido renunciar,ya no me quiero emocionar,img2poems
72,fall foliage,the colors are great,for economic growth,img2poems
73,orgies are best left,to the hobbits elves and dwarfs,imaginary,img2poems
74,seems to me that,your hair is clean,winds can't compete,img2poems
75,) my friend,my companion,my love to the end,img2poems
76,) be kind,be true,love will find you,img2poems
77,) forgive much,steadfastly live,happiness will come,img2poems
78,) a changing world,daily routine,keeps us rounded,img2poems
79,kiss me back to home,if my attempt to escape,makes me a forlorn,img2poems
80,life's down side,freezes you in motion,care of self you'll fly again,img2poems
81,leaves all gone now,flowers in their bed now,except the every green holding on,img2poems
82,green economics,a man dressed in green rides the,bear financial bull,img2poems
83,painting the glow,in the green of forest,unseen fingers,img2poems
84,snowing,through the blizzard,particles of me,img2poems
85,drinking my tea,without sugar,no difference,img2poems
86,looking over my shoulder,my behind was covered,with cherry blossoms,img2poems
