,0,1,2,source
0,rectory roofers,their ladders,take them higher,sballas
1,summer cabin,the ants,do the dishes,sballas
2,lagoon at sunrise?,the shadow,chases its pelican,sballas
3,barren trees,even the tiniest twig,embraced by the mist,sballas
4,windfall apples,bees tango,to a waltz,sballas
5,that foghorn bawl?,calf separated,from its mother,sballas
6,spray art,the cherry knows,no bounds,sballas
7,cold night,the escalating heat,of my old notebook,sballas
8,fly fishing,my thoughts,untangle,sballas
9,arrows of geese,the puppy chases,leaves on the wind,sballas
10,absently choking,on a sliver of lemon,near-total eclipse,sballas
11,twilight?,a full moon,between fractured branches,sballas
12,at the tulip festival,she holds a bouquet,of dandelions,sballas
13,random rain splatters,on the sidewalk . . .,polka dots,sballas
14,yukon hike,water sloshes to the beat,of the bear bell,sballas
15,spring rain . . .,the dog's coat finer,than mine,sballas
16,winter solstice . . .,a furlong of a dream,curls inside me,sballas
17,autumn sky?,swaying wheat field,shaping the wind,sballas
18,blue sky morning,the hospital huffs,the only clouds,sballas
19,still-life lilies,residents sitting,in the nursing-home lounge,sballas
20,year's end?,only the sound of mouse clicks,from every desk,sballas
21,high tide,wild blackberry canes,overtake the shore,sballas
22,ocean swim,not knowing what's,beneath me,sballas
23,stocking,empty to the toe,the spray of citrus,sballas
24,autumn's last month,still awaiting,my inheritance,sballas
25,after the rain,only a few petals left,with the rose,sballas
26,empty restaurant,all the tables,candlelit,sballas
27,spring again . . .,a songbird's paean,at dawn,sballas
28,the busker,buttons his collar,,sballas
29,rolling thunder,the bass on the car stereo,passing by,sballas
30,a line of gulls,fencing the shoreline,unbroken sun,sballas
31,tax time?,a gnome hunches over his desk,in the garden,sballas
32,a whiff of jasmine,as she unties her hair?,hint of rain,sballas
33,pausing to ponder,the dragonfly,on my pen's point,sballas
34,a better day,the sink ant granted,a reprieve,sballas
35,contract signed,the wind catcher,twirls to the right,sballas
36,all night drive,the moon goes full,and past,sballas
37,river eddy,the ripples of fish,catching twilight insects,sballas
38,clown car . . .,nothing works,but the horn,sballas
39,jamun tree . . .,the stains of summer,on my lips,sballas
40,light pollution?,the fireflies flickering,out,sballas
41,morning lights,an egret cluttering,yesterday's foot prints,sballas
42,knee deep in heather,the purple scent,of summer,sballas
43,ear,of barley,crescent moon,sballas
44,morning,a busy spider weaving,leaf to leaf,sballas
45,hovering,over summer clouds . . .,mom's lullaby,sballas
46,still pond,a crooked coconut tree licks,its own image,sballas
47,undercurrents?,the snapping turtle,surfaces,sballas
48,deep noon,a squirrel chases a tree,shadow,sballas
49,washing day,sheets billow,shaping the breeze,sballas
50,midnight moon?,the violet of violets,almost black,sballas
51,hotel ruin,a chime of finches,in the rafters,sballas
52,passing train,strobe light of the setting sun,on the hedges,sballas
53,mountain haze,the remains of my dream,in fading blossoms,sballas
54,hangman?,the snapped branch,of the silver birch,sballas
55,cyan lake . . .,a fishing net catches,the first light,sballas
56,long drive,scent of fresh tea breaks,the mist,sballas
57,into the blue,a white swan,rising,sballas
58,receding waters,the sea unseals,a thousand puddles,sballas
59,the slickness,of the otter's back?,night rain,sballas
60,jasmine blossoms,the farmer returns with,fishy dreams,sballas
61,rippling,the breeze arrives,and retreats,sballas
62,falling mist,touching the spaces,between falling leaves,sballas
63,from both sides,of the border,cockcrow,sballas
64,c-section . . .,a lark hatchling beaks,the full moon,sballas
65,new moon . . .,footprints circling,the winter apple,sballas
66,why should a fiddlehead,become a fern?,flower moon,sballas
67,mid-winter,the heart of sweetbox,thru an open gate,sballas
68,poolside palms,the play of shadows,all day long,sballas
69,broken twigs,short end of wishbones,among the tombstones,sballas
70,after the storm,the wind chimes,realigning,sballas
71,"the hearse, the swamp",last year's frozen cat tails,,sballas
72,first snow,from the jay's beak,a full moon rises,sballas
73,courting cats,a pane of glass,between them,sballas
74,out of the canyon,out of the blue,a flute,sballas
75,paper boat,"cradled by the sky,",cradling the sky,sballas
76,new moon?,the wolves howl,within themselves,sballas
77,galahs,a deeper shade of pink,sunrise,sballas
78,a pelican turns,dives and surfaces,crescent moon,sballas
79,cedar waxwings,the next stop on our journey,,sballas
80,autumn afternoon,the cat's eyes follow,each falling leaf,sballas
81,what if . . .,around the pig's snout,green butterflies,sballas
82,winter blessings,snowflakes,one by one,sballas
83,equinox sunrise,the wash folds itself,,sballas
84,lime cordial,the tinkle of ice,forty years ago,sballas
86,warm breeze,caught on the grass,one dragonfly wing,sballas
87,autumn rain . . .,the birdbath fills,drop by drop,sballas
88,old fire pit,moss grows,where there were songs,sballas
89,coffee shop,our family stories,darkly roasted,sballas
90,outdoor patio,the hummingbird into,the flower tattoo,sballas
91,first of october,clipping peppers,in the evening rain,sballas
92,rain shower,from the gutters:,crickets,sballas
93,soaking in mozart,a purple cactus flower,on the windowsill,sballas
94,winter kinglet,learning the yes and no,of each branch,sballas
96,draughty sill,the dead moth,back on its feet,sballas
97,a quiver,in the folk singer's voice . . .,dappled sunrise,sballas
98,mild winter,cloaking the creek,tundra swans,sballas
99,sultry air,the marsh grass,overtakes the path,sballas
100,drawing near?,the loon's call still sounds,from afar,sballas
101,it selects the m,to build its nest,walmart,sballas
102,roadside tree,ribbons streaming,from the bend,sballas
103,thunder carry?,the long slow slope,to the valley,sballas
104,fingers burning,i take my blues,higher,sballas
105,morning walk,through an open window,,sballas
106,dead of winter,i was where i am,when the snow began,sballas
107,last rays of sun?,crows suddenly,gold-winged,sballas
108,her last year at,primary school,the wren's tail,sballas
109,shuttle-bus-driver,our daily conversation,about the lottery numbers,sballas
110,falling through,a metal net,city moon,sballas
111,anniversary,of my father's death,leaves falling off a mountain,sballas
112,eventide?,crows find the last piece,of blue sky,sballas
113,on the edge of town,an outfield,keeps on going,sballas
114,graduation day,cool breeze stirring,gowns and leaves,sballas
115,will pay anything,the medal collector,who missed the war,sballas
116,inlaws coming,the dog knows how,to play dead,sballas
117,snow melt,the barn owl,glides across the moon,sballas
118,on the underbelly,of the falcon?,the dawn's pink light,sballas
119,in the snow,footprints going away,her last gift,sballas
120,heat haze?,the call of doves,from the oaks,sballas
121,morning escapes,through newly empty air,acorns,sballas
122,adrift,in a fishbowl . . .,stray moon,sballas
123,warm sand,we leave our impressions,behind,sballas
124,dusk?,moths doze,on my window,sballas
125,clouds cling,to the mountain,stories you try to forget,sballas
126,cool nights,the morning glory's,delicate purple,sballas
127,fading in and out,of the overcast sky?,crescent moon,sballas
128,day's end,my daughter asks,for the moon,sballas
129,red lobster?,her prying glance,through the mist,sballas
130,dawn?,a sudden beating of wings,against my window,sballas
131,october,what flowers are left,lie down,sballas
132,thanksgiving,huddled on cold asphalt,gulls with no necks,sballas
133,urban rainbow?,the factory chimneys,glow gold,sballas
134,low tide,a band of surfers,compare scars,sballas
135,late night special,the postman rings,a broken bell,sballas
136,florida spring?,the brown chameleon,turns green,sballas
137,a gull drops a crab and,the heat,,sballas
138,watch repair,all the clocks still set,to standard time,sballas
139,summer rain,on the clothes line,down feathers,sballas
140,old railway tunnel?,still hearing the sound,of birdsong,sballas
141,hotel entrance,we re-examine,the stars,sballas
142,monkey puzzle,trapped in the heart,of the garden maze,sballas
143,a tiny branch . . .,the hummingbird keeps time,to summer rain,sballas
144,pale sun flickers,across the buddha's face,pulse of crickets,sballas
145,the cry of a nightbird,how slowly a rose opens,in darkness,sballas
146,trays of canap's,at the picnic?,crows,sballas
147,long summer night?,pale through the fire,the rising sun,sballas
148,lamb's ear,the softness,of summer rain,sballas
149,work day's end,the chimney smoke curls,between raindrops,sballas
150,first day alone,coyote tracks,in the sand,sballas
151,last breath of fish,in the seagull's beak,broken sand dollars,sballas
152,frogs out-do,the church choir?,evensong,sballas
153,lazy afternoon,the slow circles,of a redtail hawk,sballas
154,family dinner,so many forms,of silence,sballas
155,lightning flash,the dog's silhouette,also trembles,sballas
156,remembering,the costa rican sun,clink of ice cubes,sballas
157,at the burial,grief pauses,for the mockingbird,sballas
158,table tennis,father and daughter,both win,sballas
159,live fish in the restaurant,we choose,tofu,sballas
160,purple magnolias,lingering,twilight,sballas
161,class reunion,everyone else's,ring fingers,sballas
162,"this morning, autumn",in the husks,of sunflowers,sballas
163,frost sliding,on glass?,tri-focals,sballas
164,arms flung wide,the laundry,surrenders to the wind,sballas
165,sunset,the heron steps out,of his shadow,sballas
166,the countdown,somebody else's,new year's kiss,sballas
167,waking,to the hum of the furnace,winter dawn,sballas
168,haloed lights,in a snow-covered parking lot,hometown visit,sballas
169,an albatross dips,below the waves,gale force swell,sballas
170,knife wind,my white breath,stolen,sballas
171,beside the graveyard,train parked,on the tracks,sballas
172,spring melt,a sheet of snow,punched with crocuses,sballas
173,mid-summer storm . . .,a herd of dairy cows,huddle together,sballas
174,cherry smoke,on the mantel nail,her white dress,sballas
175,day drizzle,scrubbing the rainbow,inside the pot,sballas
176,first warm day,the melancholy face,of the tv dials,sballas
177,ripening sky,another slow turn,of the cider press,sballas
178,ki,3... 2... 1... 2012!,ss,sballas
179,moving day . . .,inside this matchbox,a cicada shell,sballas
180,autumn sunset,in the brown field,a red tractor,sballas
181,morning haze,the voice from the dash,relocating,sballas
182,friday's dusk,he brings home,dark chocolate,sballas
183,thunder,the stray dog,bolts,sballas
184,this winter night,slowly unfolding,first star,sballas
185,deep autumn,the half-naked birch,fully yellow,sballas
